MONTH,MONTH_NUM,REGION,SEGMENT,REVENUE_BUDGET,REVENUE_ACTUAL,EXPENSE_BUDGET,EXPENSE_ACTUAL,YEAR,REVENUE_VARIANCE,REVENUE_VAR_PCT,EXPENSE_VARIANCE,EXPENSE_VAR_PCT,NETINCOME_BUDGET,NETINCOME_ACTUAL,NETINCOME_VARIANCE,MARGIN_BUDGET,MARGIN_ACTUAL,REV_VARIANCE,REV_VAR_PCT,EXP_VARIANCE,EXP_VAR_PCT,NI_ACTUAL,NI_BUDGET,NI_VARIANCE,NET_MARGIN_PCT,VARIANCE_STATUS,RISK_FLAG,RUN_DATE
Jan,1,Asia Pacific,Equity Funds,5012446.64,5234535.22,3399924.25,3625135.16,2024,222088.58,4.43,225210.91,6.62,1612522.39,1609400.06,-3122.33,32.17,30.75,222088.58,4.43,225210.91,6.62,1609400.06,1612522.39,-3122.33,30.75,FAVORABLE,OK,2026-03-01
Jan,1,Asia Pacific,Fixed Income,1696967.49,1602374.81,763055.85,844167.41,2024,-94592.68,-5.57,81111.56,10.63,933911.64,758207.4,-175704.24,55.03,47.32,-94592.68,-5.57,81111.56,10.63,758207.4,933911.64,-175704.24,47.32,UNFAVORABLE,WATCH,2026-03-01
Jan,1,Asia Pacific,Real Estate,4620040.21,4504315.85,2641575.98,2615488.95,2024,-115724.36,-2.5,-26087.03,-0.99,1978464.23,1888826.9,-89637.33,42.82,41.93,-115724.36,-2.5,-26087.03,-0.99,1888826.9,1978464.23,-89637.33,41.93,UNFAVORABLE,WATCH,2026-03-01
Jan,1,Asia Pacific,Hedge Funds,1935969.97,1825731.94,1019078.96,1116378.06,2024,-110238.03,-5.69,97299.1,9.55,916891.01,709353.88,-207537.13,47.36,38.85,-110238.03,-5.69,97299.1,9.55,709353.88,916891.01,-207537.13,38.85,UNFAVORABLE,WATCH,2026-03-01
Jan,1,Asia Pacific,Private Equity,2724010.23,2730238.16,1173322.53,1045791.68,2024,6227.93,0.23,-127530.85,-10.87,1550687.7,1684446.48,133758.78,56.93,61.7,6227.93,0.23,-127530.85,-10.87,1684446.48,1550687.7,133758.78,61.7,ON TARGET,OK,2026-03-01
Jan,1,Latin America,Equity Funds,1334161.09,1309236.82,734281.22,713419.28,2024,-24924.27,-1.87,-20861.94,-2.84,599879.87,595817.54,-4062.33,44.96,45.51,-24924.27,-1.87,-20861.94,-2.84,595817.54,599879.87,-4062.33,45.51,ON TARGET,OK,2026-03-01
Jan,1,Latin America,Fixed Income,5453253.38,5925434.93,2737345.72,2882351.78,2024,472181.55,8.66,145006.06,5.3,2715907.66,3043083.15,327175.49,49.8,51.36,472181.55,8.66,145006.06,5.3,3043083.15,2715907.66,327175.49,51.36,FAVORABLE,OK,2026-03-01
Jan,1,Latin America,Real Estate,3492351.12,3610500.26,2064627.75,2032303.24,2024,118149.14,3.38,-32324.51,-1.57,1427723.37,1578197.02,150473.65,40.88,43.71,118149.14,3.38,-32324.51,-1.57,1578197.02,1427723.37,150473.65,43.71,FAVORABLE,OK,2026-03-01
Jan,1,Latin America,Hedge Funds,2909024.08,2743830.41,1991975.92,1838347.67,2024,-165193.67,-5.68,-153628.25,-7.71,917048.16,905482.74,-11565.42,31.52,33.0,-165193.67,-5.68,-153628.25,-7.71,905482.74,917048.16,-11565.42,33.0,UNFAVORABLE,WATCH,2026-03-01
Jan,1,Latin America,Private Equity,4446274.38,4594548.2,3366617.25,3086115.5,2024,148273.82,3.33,-280501.75,-8.33,1079657.13,1508432.7,428775.57,24.28,32.83,148273.82,3.33,-280501.75,-8.33,1508432.7,1079657.13,428775.57,32.83,FAVORABLE,OK,2026-03-01
Jan,1,Middle East,Equity Funds,4225588.38,4256371.29,2204211.0,2111187.68,2024,30782.91,0.73,-93023.32,-4.22,2021377.38,2145183.61,123806.23,47.84,50.4,30782.91,0.73,-93023.32,-4.22,2145183.61,2021377.38,123806.23,50.4,ON TARGET,OK,2026-03-01
Jan,1,Middle East,Fixed Income,948593.88,1024101.69,617857.33,552303.93,2024,75507.81,7.96,-65553.4,-10.61,330736.55,471797.76,141061.21,34.87,46.07,75507.81,7.96,-65553.4,-10.61,471797.76,330736.55,141061.21,46.07,FAVORABLE,OK,2026-03-01
Jan,1,Middle East,Real Estate,4115752.66,4101914.31,3010479.31,3198768.29,2024,-13838.35,-0.34,188288.98,6.25,1105273.35,903146.02,-202127.33,26.85,22.02,-13838.35,-0.34,188288.98,6.25,903146.02,1105273.35,-202127.33,22.02,ON TARGET,OK,2026-03-01
Jan,1,Middle East,Hedge Funds,3996648.91,4044420.3,1869934.54,2037076.64,2024,47771.39,1.2,167142.1,8.94,2126714.37,2007343.66,-119370.71,53.21,49.63,47771.39,1.2,167142.1,8.94,2007343.66,2126714.37,-119370.71,49.63,ON TARGET,OK,2026-03-01
Jan,1,Middle East,Private Equity,2597433.96,2740769.34,1244378.98,1188147.87,2024,143335.38,5.52,-56231.11,-4.52,1353054.98,1552621.47,199566.49,52.09,56.65,143335.38,5.52,-56231.11,-4.52,1552621.47,1353054.98,199566.49,56.65,FAVORABLE,OK,2026-03-01
Feb,2,North America,Equity Funds,4917979.6,4938724.63,2968234.98,2772115.86,2024,20745.03,0.42,-196119.12,-6.61,1949744.62,2166608.77,216864.15,39.65,43.87,20745.03,0.42,-196119.12,-6.61,2166608.77,1949744.62,216864.15,43.87,ON TARGET,OK,2026-03-01
Feb,2,North America,Fixed Income,2100132.5,1959113.16,1271456.6,1311462.61,2024,-141019.34,-6.71,40006.01,3.15,828675.9,647650.55,-181025.35,39.46,33.06,-141019.34,-6.71,40006.01,3.15,647650.55,828675.9,-181025.35,33.06,UNFAVORABLE,WATCH,2026-03-01
Feb,2,North America,Real Estate,1888259.03,1693779.23,1204575.37,1253426.52,2024,-194479.8,-10.3,48851.15,4.06,683683.66,440352.71,-243330.95,36.21,26.0,-194479.8,-10.3,48851.15,4.06,440352.71,683683.66,-243330.95,26.0,CRITICAL,CRITICAL,2026-03-01
Feb,2,North America,Hedge Funds,1847851.54,1879358.04,827828.85,884376.73,2024,31506.5,1.71,56547.88,6.83,1020022.69,994981.31,-25041.38,55.2,52.94,31506.5,1.71,56547.88,6.83,994981.31,1020022.69,-25041.38,52.94,ON TARGET,OK,2026-03-01
Feb,2,North America,Private Equity,3853595.51,3789827.31,2093111.3,2076546.25,2024,-63768.2,-1.65,-16565.05,-0.79,1760484.21,1713281.06,-47203.15,45.68,45.21,-63768.2,-1.65,-16565.05,-0.79,1713281.06,1760484.21,-47203.15,45.21,ON TARGET,OK,2026-03-01
Feb,2,Europe,Equity Funds,4236099.26,3827825.24,2469094.87,2373868.36,2024,-408274.02,-9.64,-95226.51,-3.86,1767004.39,1453956.88,-313047.51,41.71,37.98,-408274.02,-9.64,-95226.51,-3.86,1453956.88,1767004.39,-313047.51,37.98,UNFAVORABLE,WATCH,2026-03-01
Feb,2,Europe,Fixed Income,4145229.76,4094107.68,2281987.73,2160701.99,2024,-51122.08,-1.23,-121285.74,-5.31,1863242.03,1933405.69,70163.66,44.95,47.22,-51122.08,-1.23,-121285.74,-5.31,1933405.69,1863242.03,70163.66,47.22,ON TARGET,OK,2026-03-01
Feb,2,Europe,Real Estate,1828154.7,1986699.2,1357852.11,1211395.81,2024,158544.5,8.67,-146456.3,-10.79,470302.59,775303.39,305000.8,25.73,39.02,158544.5,8.67,-146456.3,-10.79,775303.39,470302.59,305000.8,39.02,FAVORABLE,OK,2026-03-01
Feb,2,Europe,Hedge Funds,5465699.95,6024994.51,3746150.97,3446139.22,2024,559294.56,10.23,-300011.75,-8.01,1719548.98,2578855.29,859306.31,31.46,42.8,559294.56,10.23,-300011.75,-8.01,2578855.29,1719548.98,859306.31,42.8,FAVORABLE,OK,2026-03-01
Feb,2,Europe,Private Equity,2783489.69,2488641.57,1424615.97,1590546.87,2024,-294848.12,-10.59,165930.9,11.65,1358873.72,898094.7,-460779.02,48.82,36.09,-294848.12,-10.59,165930.9,11.65,898094.7,1358873.72,-460779.02,36.09,CRITICAL,CRITICAL,2026-03-01
Feb,2,Asia Pacific,Equity Funds,1896631.37,1861585.03,1431358.92,1601549.56,2024,-35046.34,-1.85,170190.64,11.89,465272.45,260035.47,-205236.98,24.53,13.97,-35046.34,-1.85,170190.64,11.89,260035.47,465272.45,-205236.98,13.97,ON TARGET,OK,2026-03-01
Feb,2,Asia Pacific,Fixed Income,2917837.94,2775476.27,2281434.54,2324789.26,2024,-142361.67,-4.88,43354.72,1.9,636403.4,450687.01,-185716.39,21.81,16.24,-142361.67,-4.88,43354.72,1.9,450687.01,636403.4,-185716.39,16.24,UNFAVORABLE,WATCH,2026-03-01
Feb,2,Asia Pacific,Real Estate,2804679.88,2861341.77,2076437.56,2252213.76,2024,56661.89,2.02,175776.2,8.47,728242.32,609128.01,-119114.31,25.97,21.29,56661.89,2.02,175776.2,8.47,609128.01,728242.32,-119114.31,21.29,FAVORABLE,OK,2026-03-01
Feb,2,Asia Pacific,Hedge Funds,1338507.77,1237581.59,1099223.18,1145446.63,2024,-100926.18,-7.54,46223.45,4.21,239284.59,92134.96,-147149.63,17.88,7.44,-100926.18,-7.54,46223.45,4.21,92134.96,239284.59,-147149.63,7.44,UNFAVORABLE,WATCH,2026-03-01
Feb,2,Asia Pacific,Private Equity,1927411.89,1810016.48,885261.73,910625.86,2024,-117395.41,-6.09,25364.13,2.87,1042150.16,899390.62,-142759.54,54.07,49.69,-117395.41,-6.09,25364.13,2.87,899390.62,1042150.16,-142759.54,49.69,UNFAVORABLE,WATCH,2026-03-01
Feb,2,Latin America,Equity Funds,2572412.79,2840791.33,1506045.81,1584188.55,2024,268378.54,10.43,78142.74,5.19,1066366.98,1256602.78,190235.8,41.45,44.23,268378.54,10.43,78142.74,5.19,1256602.78,1066366.98,190235.8,44.23,FAVORABLE,OK,2026-03-01
Feb,2,Latin America,Fixed Income,1864374.67,1774883.38,987446.74,1047135.41,2024,-89491.29,-4.8,59688.67,6.04,876927.93,727747.97,-149179.96,47.04,41.0,-89491.29,-4.8,59688.67,6.04,727747.97,876927.93,-149179.96,41.0,UNFAVORABLE,WATCH,2026-03-01
Feb,2,Latin America,Real Estate,1214807.72,1359446.55,593594.87,552730.04,2024,144638.83,11.91,-40864.83,-6.88,621212.85,806716.51,185503.66,51.14,59.34,144638.83,11.91,-40864.83,-6.88,806716.51,621212.85,185503.66,59.34,FAVORABLE,OK,2026-03-01
Feb,2,Latin America,Hedge Funds,2059624.49,2247101.52,1360606.26,1248845.03,2024,187477.03,9.1,-111761.23,-8.21,699018.23,998256.49,299238.26,33.94,44.42,187477.03,9.1,-111761.23,-8.21,998256.49,699018.23,299238.26,44.42,FAVORABLE,OK,2026-03-01
Feb,2,Latin America,Private Equity,4397810.3,4912072.36,2931282.13,2585031.89,2024,514262.06,11.69,-346250.24,-11.81,1466528.17,2327040.47,860512.3,33.35,47.37,514262.06,11.69,-346250.24,-11.81,2327040.47,1466528.17,860512.3,47.37,FAVORABLE,OK,2026-03-01
Feb,2,Middle East,Equity Funds,4370124.26,4830487.14,2117318.14,1921895.78,2024,460362.88,10.53,-195422.36,-9.23,2252806.12,2908591.36,655785.24,51.55,60.21,460362.88,10.53,-195422.36,-9.23,2908591.36,2252806.12,655785.24,60.21,FAVORABLE,OK,2026-03-01
Feb,2,Middle East,Fixed Income,1192658.6,1222664.89,803180.81,746045.22,2024,30006.29,2.52,-57135.59,-7.11,389477.79,476619.67,87141.88,32.66,38.98,30006.29,2.52,-57135.59,-7.11,476619.67,389477.79,87141.88,38.98,FAVORABLE,OK,2026-03-01
Feb,2,Middle East,Real Estate,3455854.75,3792042.92,1959909.34,1768135.41,2024,336188.17,9.73,-191773.93,-9.78,1495945.41,2023907.51,527962.1,43.29,53.37,336188.17,9.73,-191773.93,-9.78,2023907.51,1495945.41,527962.1,53.37,FAVORABLE,OK,2026-03-01
Feb,2,Middle East,Hedge Funds,2322945.3,2474096.13,1412323.17,1331636.11,2024,151150.83,6.51,-80687.06,-5.71,910622.13,1142460.02,231837.89,39.2,46.18,151150.83,6.51,-80687.06,-5.71,1142460.02,910622.13,231837.89,46.18,FAVORABLE,OK,2026-03-01
Feb,2,Middle East,Private Equity,3856575.14,3402736.18,2203961.0,2406605.37,2024,-453838.96,-11.77,202644.37,9.19,1652614.14,996130.81,-656483.33,42.85,29.27,-453838.96,-11.77,202644.37,9.19,996130.81,1652614.14,-656483.33,29.27,CRITICAL,CRITICAL,2026-03-01
Mar,3,North America,Equity Funds,4904093.2,5001205.5,2622237.66,2387775.33,2024,97112.3,1.98,-234462.33,-8.94,2281855.54,2613430.17,331574.63,46.53,52.26,97112.3,1.98,-234462.33,-8.94,2613430.17,2281855.54,331574.63,52.26,ON TARGET,OK,2026-03-01
Mar,3,North America,Fixed Income,2218741.66,2410815.06,1627811.64,1514545.85,2024,192073.4,8.66,-113265.79,-6.96,590930.02,896269.21,305339.19,26.63,37.18,192073.4,8.66,-113265.79,-6.96,896269.21,590930.02,305339.19,37.18,FAVORABLE,OK,2026-03-01
Mar,3,North America,Real Estate,1951557.26,2131475.87,871962.13,897213.07,2024,179918.61,9.22,25250.94,2.9,1079595.13,1234262.8,154667.67,55.32,57.91,179918.61,9.22,25250.94,2.9,1234262.8,1079595.13,154667.67,57.91,FAVORABLE,OK,2026-03-01
Mar,3,North America,Hedge Funds,1554795.8,1732492.55,1122017.03,1224726.34,2024,177696.75,11.43,102709.31,9.15,432778.77,507766.21,74987.44,27.84,29.31,177696.75,11.43,102709.31,9.15,507766.21,432778.77,74987.44,29.31,FAVORABLE,OK,2026-03-01
Mar,3,North America,Private Equity,873758.4,964101.36,643293.9,699501.94,2024,90342.96,10.34,56208.04,8.74,230464.5,264599.42,34134.92,26.38,27.45,90342.96,10.34,56208.04,8.74,264599.42,230464.5,34134.92,27.45,FAVORABLE,OK,2026-03-01
Mar,3,Europe,Equity Funds,4446837.55,4028581.13,2394808.15,2600911.04,2024,-418256.42,-9.41,206102.89,8.61,2052029.4,1427670.09,-624359.31,46.15,35.44,-418256.42,-9.41,206102.89,8.61,1427670.09,2052029.4,-624359.31,35.44,UNFAVORABLE,WATCH,2026-03-01
Mar,3,Europe,Fixed Income,1720453.02,1640014.63,1276434.95,1192985.36,2024,-80438.39,-4.68,-83449.59,-6.54,444018.07,447029.27,3011.2,25.81,27.26,-80438.39,-4.68,-83449.59,-6.54,447029.27,444018.07,3011.2,27.26,UNFAVORABLE,WATCH,2026-03-01
Mar,3,Europe,Real Estate,868498.71,944444.32,499493.82,473015.65,2024,75945.61,8.74,-26478.17,-5.3,369004.89,471428.67,102423.78,42.49,49.92,75945.61,8.74,-26478.17,-5.3,471428.67,369004.89,102423.78,49.92,FAVORABLE,OK,2026-03-01
Mar,3,Europe,Hedge Funds,3830472.19,3863765.8,2166306.89,1966317.81,2024,33293.61,0.87,-199989.08,-9.23,1664165.3,1897447.99,233282.69,43.45,49.11,33293.61,0.87,-199989.08,-9.23,1897447.99,1664165.3,233282.69,49.11,ON TARGET,OK,2026-03-01
Mar,3,Europe,Private Equity,5326716.67,5026886.05,2262955.29,2227416.26,2024,-299830.62,-5.63,-35539.03,-1.57,3063761.38,2799469.79,-264291.59,57.52,55.69,-299830.62,-5.63,-35539.03,-1.57,2799469.79,3063761.38,-264291.59,55.69,UNFAVORABLE,WATCH,2026-03-01
Mar,3,Asia Pacific,Equity Funds,3941880.14,3952686.94,2051956.07,2089673.34,2024,10806.8,0.27,37717.27,1.84,1889924.07,1863013.6,-26910.47,47.94,47.13,10806.8,0.27,37717.27,1.84,1863013.6,1889924.07,-26910.47,47.13,ON TARGET,OK,2026-03-01
Mar,3,Asia Pacific,Fixed Income,1683483.56,1855431.27,1248547.45,1314299.95,2024,171947.71,10.21,65752.5,5.27,434936.11,541131.32,106195.21,25.84,29.16,171947.71,10.21,65752.5,5.27,541131.32,434936.11,106195.21,29.16,FAVORABLE,OK,2026-03-01
Mar,3,Asia Pacific,Real Estate,3809843.42,3416643.63,2633945.38,2526606.86,2024,-393199.79,-10.32,-107338.52,-4.08,1175898.04,890036.77,-285861.27,30.86,26.05,-393199.79,-10.32,-107338.52,-4.08,890036.77,1175898.04,-285861.27,26.05,CRITICAL,CRITICAL,2026-03-01
Mar,3,Asia Pacific,Hedge Funds,2211553.2,2105569.7,1435324.15,1403767.54,2024,-105983.5,-4.79,-31556.61,-2.2,776229.05,701802.16,-74426.89,35.1,33.33,-105983.5,-4.79,-31556.61,-2.2,701802.16,776229.05,-74426.89,33.33,UNFAVORABLE,WATCH,2026-03-01
Mar,3,Asia Pacific,Private Equity,2304464.86,2260465.99,1459539.03,1521651.62,2024,-43998.87,-1.91,62112.59,4.26,844925.83,738814.37,-106111.46,36.66,32.68,-43998.87,-1.91,62112.59,4.26,738814.37,844925.83,-106111.46,32.68,ON TARGET,OK,2026-03-01
Mar,3,Latin America,Equity Funds,4408984.28,4459709.34,2623012.83,2488870.1,2024,50725.06,1.15,-134142.73,-5.11,1785971.45,1970839.24,184867.79,40.51,44.19,50725.06,1.15,-134142.73,-5.11,1970839.24,1785971.45,184867.79,44.19,ON TARGET,OK,2026-03-01
Mar,3,Latin America,Fixed Income,2686148.27,2663577.01,1607031.2,1496609.41,2024,-22571.26,-0.84,-110421.79,-6.87,1079117.07,1166967.6,87850.53,40.17,43.81,-22571.26,-0.84,-110421.79,-6.87,1166967.6,1079117.07,87850.53,43.81,ON TARGET,OK,2026-03-01
Mar,3,Latin America,Real Estate,2952408.8,2718359.35,1841164.44,1847992.37,2024,-234049.45,-7.93,6827.93,0.37,1111244.36,870366.98,-240877.38,37.64,32.02,-234049.45,-7.93,6827.93,0.37,870366.98,1111244.36,-240877.38,32.02,UNFAVORABLE,WATCH,2026-03-01
Mar,3,Latin America,Hedge Funds,3678595.65,3900316.21,1969819.08,1839641.14,2024,221720.56,6.03,-130177.94,-6.61,1708776.57,2060675.07,351898.5,46.45,52.83,221720.56,6.03,-130177.94,-6.61,2060675.07,1708776.57,351898.5,52.83,FAVORABLE,OK,2026-03-01
Mar,3,Latin America,Private Equity,1552840.56,1543574.33,800691.05,718603.22,2024,-9266.23,-0.6,-82087.83,-10.25,752149.51,824971.11,72821.6,48.44,53.45,-9266.23,-0.6,-82087.83,-10.25,824971.11,752149.51,72821.6,53.45,ON TARGET,OK,2026-03-01
Mar,3,Middle East,Equity Funds,2385385.49,2497796.83,1621472.45,1521843.13,2024,112411.34,4.71,-99629.32,-6.14,763913.04,975953.7,212040.66,32.02,39.07,112411.34,4.71,-99629.32,-6.14,975953.7,763913.04,212040.66,39.07,FAVORABLE,OK,2026-03-01
Mar,3,Middle East,Fixed Income,3733901.66,3975899.88,1479510.47,1452931.19,2024,241998.22,6.48,-26579.28,-1.8,2254391.19,2522968.69,268577.5,60.38,63.46,241998.22,6.48,-26579.28,-1.8,2522968.69,2254391.19,268577.5,63.46,FAVORABLE,OK,2026-03-01
Mar,3,Middle East,Real Estate,1544250.47,1377552.36,1077725.54,1167824.17,2024,-166698.11,-10.79,90098.63,8.36,466524.93,209728.19,-256796.74,30.21,15.22,-166698.11,-10.79,90098.63,8.36,209728.19,466524.93,-256796.74,15.22,CRITICAL,CRITICAL,2026-03-01
Mar,3,Middle East,Hedge Funds,2808206.09,3137030.7,1911794.45,2118286.42,2024,328824.61,11.71,206491.97,10.8,896411.64,1018744.28,122332.64,31.92,32.47,328824.61,11.71,206491.97,10.8,1018744.28,896411.64,122332.64,32.47,FAVORABLE,OK,2026-03-01
Mar,3,Middle East,Private Equity,4743264.58,4748703.96,3070365.84,3105642.1,2024,5439.38,0.11,35276.26,1.15,1672898.74,1643061.86,-29836.88,35.27,34.6,5439.38,0.11,35276.26,1.15,1643061.86,1672898.74,-29836.88,34.6,ON TARGET,OK,2026-03-01
Apr,4,North America,Equity Funds,4545135.21,4282453.54,2919447.87,3015902.76,2024,-262681.67,-5.78,96454.89,3.3,1625687.34,1266550.78,-359136.56,35.77,29.58,-262681.67,-5.78,96454.89,3.3,1266550.78,1625687.34,-359136.56,29.58,UNFAVORABLE,WATCH,2026-03-01
Apr,4,North America,Fixed Income,4118232.4,3895449.98,2229706.03,2115042.85,2024,-222782.42,-5.41,-114663.18,-5.14,1888526.37,1780407.13,-108119.24,45.86,45.7,-222782.42,-5.41,-114663.18,-5.14,1780407.13,1888526.37,-108119.24,45.7,UNFAVORABLE,WATCH,2026-03-01
Apr,4,North America,Real Estate,1956792.18,1786961.75,1002770.0,1049446.89,2024,-169830.43,-8.68,46676.89,4.65,954022.18,737514.86,-216507.32,48.75,41.27,-169830.43,-8.68,46676.89,4.65,737514.86,954022.18,-216507.32,41.27,UNFAVORABLE,WATCH,2026-03-01
Apr,4,North America,Hedge Funds,3697346.49,3735158.05,1737938.98,1615658.03,2024,37811.56,1.02,-122280.95,-7.04,1959407.51,2119500.02,160092.51,52.99,56.74,37811.56,1.02,-122280.95,-7.04,2119500.02,1959407.51,160092.51,56.74,ON TARGET,OK,2026-03-01
Apr,4,North America,Private Equity,2607728.83,2730097.85,1982244.36,2108597.96,2024,122369.02,4.69,126353.6,6.37,625484.47,621499.89,-3984.58,23.99,22.76,122369.02,4.69,126353.6,6.37,621499.89,625484.47,-3984.58,22.76,FAVORABLE,OK,2026-03-01
Apr,4,Europe,Equity Funds,2326515.69,2468047.02,1159729.29,1285934.84,2024,141531.33,6.08,126205.55,10.88,1166786.4,1182112.18,15325.78,50.15,47.9,141531.33,6.08,126205.55,10.88,1182112.18,1166786.4,15325.78,47.9,FAVORABLE,OK,2026-03-01
Apr,4,Europe,Fixed Income,2583508.11,2647529.05,1629546.43,1519814.72,2024,64020.94,2.48,-109731.71,-6.73,953961.68,1127714.33,173752.65,36.93,42.59,64020.94,2.48,-109731.71,-6.73,1127714.33,953961.68,173752.65,42.59,FAVORABLE,OK,2026-03-01
Apr,4,Europe,Real Estate,2544298.49,2653688.19,1183544.06,1088399.82,2024,109389.7,4.3,-95144.24,-8.04,1360754.43,1565288.37,204533.94,53.48,58.99,109389.7,4.3,-95144.24,-8.04,1565288.37,1360754.43,204533.94,58.99,FAVORABLE,OK,2026-03-01
Apr,4,Europe,Hedge Funds,2830598.77,2509246.41,1320562.83,1340970.91,2024,-321352.36,-11.35,20408.08,1.55,1510035.94,1168275.5,-341760.44,53.35,46.56,-321352.36,-11.35,20408.08,1.55,1168275.5,1510035.94,-341760.44,46.56,CRITICAL,CRITICAL,2026-03-01
Apr,4,Europe,Private Equity,847246.95,839458.74,534596.35,519085.0,2024,-7788.21,-0.92,-15511.35,-2.9,312650.6,320373.74,7723.14,36.9,38.16,-7788.21,-0.92,-15511.35,-2.9,320373.74,312650.6,7723.14,38.16,ON TARGET,OK,2026-03-01
Apr,4,Asia Pacific,Equity Funds,1777215.19,1725658.7,972302.56,1049757.96,2024,-51556.49,-2.9,77455.4,7.97,804912.63,675900.74,-129011.89,45.29,39.17,-51556.49,-2.9,77455.4,7.97,675900.74,804912.63,-129011.89,39.17,UNFAVORABLE,WATCH,2026-03-01
Apr,4,Asia Pacific,Fixed Income,1680795.19,1696696.47,970717.87,935762.79,2024,15901.28,0.95,-34955.08,-3.6,710077.32,760933.68,50856.36,42.25,44.85,15901.28,0.95,-34955.08,-3.6,760933.68,710077.32,50856.36,44.85,ON TARGET,OK,2026-03-01
Apr,4,Asia Pacific,Real Estate,3637762.35,3859723.94,2633513.94,2443496.86,2024,221961.59,6.1,-190017.08,-7.22,1004248.41,1416227.08,411978.67,27.61,36.69,221961.59,6.1,-190017.08,-7.22,1416227.08,1004248.41,411978.67,36.69,FAVORABLE,OK,2026-03-01
Apr,4,Asia Pacific,Hedge Funds,819392.63,852717.43,444619.56,414523.92,2024,33324.8,4.07,-30095.64,-6.77,374773.07,438193.51,63420.44,45.74,51.39,33324.8,4.07,-30095.64,-6.77,438193.51,374773.07,63420.44,51.39,FAVORABLE,OK,2026-03-01
Apr,4,Asia Pacific,Private Equity,3489408.46,3579223.73,2667973.47,2421153.61,2024,89815.27,2.57,-246819.86,-9.25,821434.99,1158070.12,336635.13,23.54,32.36,89815.27,2.57,-246819.86,-9.25,1158070.12,821434.99,336635.13,32.36,FAVORABLE,OK,2026-03-01
